title,authors,journal,year,pdf_url,pdf_week_code,page_number,entry_index_in_pdf,ingested_at
® Reducing brain injury misconceptions and willingness to risk concussion with a three-week introductory-level neuroscience course,Gordon RG,J. Undergrad. Neurosci. Educ.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,30,30,2025-09-18T00:42:43.352207
"® The effect of common mental disorders on suicidal attempts by women, during pregnancy and six to nine years after birth","Duarte WBA, Silva EP, Ludermir AB",Cien. Saude Colet.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,31,31,2025-09-18T00:42:43.352207
"® Alcohol and Other Drugs ""When people who use drugs can't differentiate between medical care and cops, it's a problem."" Compounding risks of law Enforcement Harassment & Punitive Healthcare Policies","Ostrach B, Hixon V, Bryce A",Health Justice,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,32,32,2025-09-18T00:42:43.352207
® Are behavioural risk factors clusters associated with self-reported health complaints? University students in Finland,"El Ansari W, Suominen S, El-Ansari K, Sebena R",Cent. Eur. J. Public Health,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,33,33,2025-09-18T00:42:43.352207
® Development and validation of the Perceived Approval of Risky Drinking Inventory in undergraduate students,"Hines SA, Morin AJS, Norman P, Read JP, O'Connor RM",Psychol. Addict. Behav.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,34,34,2025-09-18T00:42:43.352207
® Hazardous drinking in youth with co-occurring PTSD and psychosis symptoms: a network analysis,"Li J, Jin Y, Xu S, Yu Y, Wilson A, Chen C, Wang Y",J. Affect. Disord.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,35,35,2025-09-18T00:42:43.352207
"® Mortal systemic exclusion yielded steep mortality-rate increases in people experiencing homelessness, 2011-20","Fowle MZ, Routhier G",Health Aff. (Hope),2024,https://www.safetylit.org/week/2024/240211.pdf,240211,36,36,2025-09-18T00:42:43.352207
® Preference for hotline versus mobile application/countdown-based mobile overdose response services: a qualitative study,"Rioux W, Teare A, Rider N, Jones S, Ghosh SM",Harm Reduct. J.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,37,37,2025-09-18T00:42:43.353209
® The effect of some adulterants on drug abuse detection by immunoassay test strips,"El-Farouny R, Mabrouk HA, Habib N",Egypt. J. Forensic Sci. Appl. Toxicol.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,38,38,2025-09-18T00:42:43.353209
® Why do drinkers earn more? Job characteristics as a possible link,"Bai Y, Grignon M",Health Econ.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,39,39,2025-09-18T00:42:43.353209
® Estimating the influence of field inventory sampling intensity on forest landscape model performance for determining high-severity wildfire risk,"Hecht H, Krofcheck DJ, Carril D, Hurteau MD",Sci. Rep.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,40,40,2025-09-18T00:42:43.353209
® Commentary Child health and the US pediatric subspecialty workforce: planning for the future,"Leslie LK, Orr CJ, Turner AL, Mink R, Leonard MB, Sabadosa KA, Vinci RJ",Pediatrics,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,41,41,2025-09-18T00:42:43.353209
® Individual agency and social support in healing from conflict-related sexual violence: a case history from eastern DRC,Alexandre AB,Glob. Public Health,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,42,42,2025-09-18T00:42:43.353209
® Depression and life satisfaction after Kahramanmaraş earthquakes: the serial mediation roles of life meaning and coping with earthquake stress,"Cengiz S, Peker A",J. Health Psychol.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,43,43,2025-09-18T00:42:43.353209
® Nuclear war and the public health community: the responsibility to act,Helfand I,J. Public Health Policy,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,44,44,2025-09-18T00:42:43.353209
® The implementation of disaster preparedness training integration model based on Public Health Nursing (ILATGANA-PHN) to increase community capacity in natural disaster-prone areas,"Sofyana H, Ibrahim K, Afriandi I, Herawati E",BMC Nurs.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,45,45,2025-09-18T00:42:43.353209
® Safety-oriented automated vehicle longitudinal control considering both stability and damping behavior,"Dai Y, Wang C, Xie Y",Accid. Anal. Prev.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,46,46,2025-09-18T00:42:43.353209
® LR-MPIBS: a LoRa-based maritime position-indicating beacon system,"Li Z, Dai J, Luan Y, Sun N, Du L",Appl. Sci. (Basel),2024,https://www.safetylit.org/week/2024/240211.pdf,240211,47,47,2025-09-18T00:42:43.353209
® Assessing the Nepalese health system's readiness to manage gender-based violence and deliver psychosocial counselling,"Deuba K, Shrestha R, Koju R, Jha VK, Lamichhane A, Mehra D, Ekstrom AM",Health Policy Plann.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,49,49,2025-09-18T00:42:43.353209
® Child health and the US pediatric subspecialty workforce: planning for the future,"Leslie LK, Orr CJ, Turner AL, Mink R, Leonard MB, Sabadosa KA, Vinci RJ",Pediatrics,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,50,50,2025-09-18T00:42:43.353209
® Delayed diagnosis of complete achilles tendon rupture in a teenage athlete: a case report of nonoperative treatment,"Schwartz PE, Schwartz MH, Georgiadis AG",JBJS Case Connect.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,51,51,2025-09-18T00:42:43.353209
® Effectiveness and cost of integrated cognitive and balance training for balance and falls in cerebellar ataxia: a blinded two-arm parallel group RCT,"Winser SJ, Chan AYY, Whitney SL, Chen CH, Pang MYC",Front. Neurol.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,52,52,2025-09-18T00:42:43.353209
® Exploring communication about fall risk and prevention between internal medicine residents and geriatric patients: a needs assessment,"Thomas ML, Anunobi U, Jackson CD",South. Med. J.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,53,53,2025-09-18T00:42:43.353209
"® Generalized anxiety and mild anxiety symptoms in U.S. military veterans: prevalence, characteristics, and functioning","Macdonald-Gagnon G, Stefanovics EA, Potenza MN, Pietrzak RH",J. Psychiatr. Res.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,54,54,2025-09-18T00:42:43.353209
"® INCOG 2.0 guidelines for cognitive rehabilitation following traumatic brain injury: what's changed from 2014 to now? - Bayley MT, Janzen S, Harnett A, Bragge P, Togher L, Kua A, Patsakos E, Turkstra LS, Teasell R, Kennedy M, Marshall S, Ponsford J. J. Head Trauma Rehabil. 2023; 38(1): e1. Increased time to fixation after traumatic spinal cord injury influenced by race and insurance status","Raso J, Kamalapathy P, Solomon E, Driskill E, Kurker K, Joshi A, Hassanzadeh H",Global Spine J.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,55,55,2025-09-18T00:42:43.353209
"® Mediating effect of suicidal ideation in the association between child abuse and premenstrual syndrome among female adults - Kfoury M, Malaeb D, Moubarak P, Sakr F, Dabbous M, Hallit S, Fekih-Romdhane F, Obeid S. BMC Womens Health 2024; 24(1): e98. Medicaid insurance is a predictor of prolonged hospital length of stay after traumatic brain injury: a stratified National Trauma Data Bank cohort analysis of 552 949 patients - Yue JK, Ramesh R, Krishnan N, Chyall L, Halabi C, Huang MC, Manley GT, Tarapore PE, DiGiorgio AM. Neurosurgery 2024; ePub(ePub): ePub. Monitoring of Norwegian foster homes","Olesen ESB, Videt LL",Soc. Sci. (Basel),2024,https://www.safetylit.org/week/2024/240211.pdf,240211,56,56,2025-09-18T00:42:43.353209
"® Patellar lateralization, absence of joint hypermobility, and the mechanism of injury are associated with osteochondral fracture after first-time acute lateral patellar dislocation in adolescents: an MRI-based evaluation","İğrek S, Şahbat Y, Koç E, Çeliksöz AH, Topkar OM",J. Pediatr. Orthop.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,57,57,2025-09-18T00:42:43.353209
"® Prevalence and determinants of post-traumatic stress disorder five months after the 2019 huge flooding in Iran - Shabani A, Rasoulian M, Naserbakht M, Hakim Shooshtari M, Hajebi A, Tiyuri A, Motevalian SA. BMC Public Health 2024; 24(1): e346. Prevalence and levels of disability post road traffic orthopaedic injuries in Rwanda - Allen Ingabire JC, Stewart A, Sagahutu JB, Urimubenshi G, Bucyibaruta G, Pilusa S, Uwakunda C, Mugisha D, Ingabire L, Tumusiime D. Afr. J. Disabil. 2024; 13: e1251. Prevalence of bullying and its impact on self-esteem, anxiety and depression among medical and health sciences university students in RAS Al Khaimah, UAE","Ibrahim FM, Rashad Dabou EA, AbdelSamad S, Abuijlan IAM",Heliyon,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,58,58,2025-09-18T00:42:43.353209
® Stakeholder views on cognitive communication assessment and intervention for a person living independently in the community with severe traumatic brain injury,"Howell S, Hoskin J, Eaton D, Holloway M, Varley R",Int. J. Lang. Commun. Disord.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,59,59,2025-09-18T00:42:43.354206
"® The association between state minimum wage and firearm homicides, 2000-2020","Merrill-Francis M, Chen MS, Dunphy C, Lennon NH, Grady C, Miller GF, McCourt AD",Am. J. Prev. Med.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,60,60,2025-09-18T00:42:43.354206
"® Three-item dimensions of anger reactions scale - Forbes D, Leardmann CA, Lawrence-Wood E, Villalobos J, Madden K, Gutierrez IA, Cowlishaw S, Baur J, Adler AB. JAMA Netw. Open 2024; 7(2): e2354741. To the point: Utility of laparoscopy for operative management of stabbing abdominal trauma - Campbell BR, Rooney AS, Krzyzaniak A, Lee JJ, Carroll AN, Calvo RY, Peck KA, Martin MJ, Bansal V, Sise MJ, Krzyzaniak MJ. Am. J. Surg. 2024; ePub(ePub): ePub. Transitioning towards a culture of healing: embracing non-violent communication and resonance for the holistic well-being of health professionals",Schmid C,J. Commun. Healthc.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,61,61,2025-09-18T00:42:43.354206
® Why are adolescent cannabis use disorder treatment admissions declining in the US? The mediated pathway of state treatment admissions rates before and after recreational cannabis legalization,"Mennis J, Stahler GJ, Coffman DL",Subst. Use Misuse,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,62,62,2025-09-18T00:42:43.354206
® A case of seatbelt-induced mesenteric injury and delayed colon ischemia after a car accident,"Celik B, Toprak S, Yeşilsoy M, Özata H",Ulus. Travma Acil Cerrahi Derg.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,63,63,2025-09-18T00:42:43.354206
® Accident case data-accident causation model driven safety training method: targeted safety training empowered by historical accident data in coal industry,"Xuecai X, Gui F, Shifei S, Xueming S, Jing L, Lida H, Na W",Process. Saf. Environ. Prot.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,64,64,2025-09-18T00:42:43.354206
® Anti-rollover control and HIL verification for an independently driven heavy vehicle based on improved LTR,"Zheng L, Lu Y, Li H, Zhang J",Machines (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,65,65,2025-09-18T00:42:43.354206
"® Defective assistive device involvement in older adult emergency department visits - Restrepo F, Mali N, Sands LP, Abrahams A, Goldberg DM, Gruss R, Zaman N, Shields W, Omaki E, Ehsani J, Ractham P, Kaewkitipong L. Innov. Aging 2024; 8(1): igad138. Design and experimental validation of a rapidly deployable folding floating bridge based on rigid-flexible combination","Wang C, Hu H, Gan J",Machines (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,66,66,2025-09-18T00:42:43.354206
® Evaluating the pedestrian level of service for varying trip purposes using machine learning algorithms,"Paul D, Moridpour S, Venkatesan S, Withanagamage N",Sci. Rep.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,67,67,2025-09-18T00:42:43.354206
® Global patterns of agricultural machine and equipment injuries- a systematic literature review,"Raza MMS, Li S, Issa SF",J. Agromed.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,68,68,2025-09-18T00:42:43.354206
® Lane-change intention recognition considering oncoming traffic: novel insights revealed by advances in deep learning,"Liu H, Wang T, Li W, Ye X, Yuan Q",Accid. Anal. Prev.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,69,69,2025-09-18T00:42:43.354206
® Reinforcement learning-based dynamic zone positions for mixed traffic flow variable speed limit control with congestion detection,"Vrbanić F, Gregurić M, Miletić M, Ivanjko E",Machines (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,70,70,2025-09-18T00:42:43.354206
® Smart city information systems: research on information published for citizens and design of effective content in the Czech Republic,"Důbravová H, Bureš V",Smart Cities (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,71,71,2025-09-18T00:42:43.354206
® Utilizing dynamic analysis in the complex design of an unconventional three-wheeled vehicle with enhancing cornering safety,"Blatnický M, Dižo J, Sága M, Molnár D, Slíva A",Machines (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,72,72,2025-09-18T00:42:43.354206
® Deep learning forecasting of large induced earthquakes via precursory signals,"Convertito V, Giampaolo F, Amoroso O, Piccialli F",Sci. Rep.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,73,73,2025-09-18T00:42:43.354206
® A hybrid ensemble forecasting model of passenger flow based on improved variational mode decomposition and boosting,"Qin X, Leng C, Dong X",Math. Biosci. Eng.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,74,74,2025-09-18T00:42:43.354206
® Characteristics and demography of low energy fall injuries in patients > 60 years of age: a population-based analysis over a decade with focus on undertriage,"Aarsland MA, Weber C, Enoksen CH, Dalen I, Tjosevik KE, Oord P, Thorsen K",Eur. J. Trauma Emerg. Surg.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,75,75,2025-09-18T00:42:43.354206
® Factors affecting work-related non-fatal injuries among aged workers in South Korea,"Park J, Park JS, Jung Y, Na M, Kim Y",Front. Public Health,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,77,77,2025-09-18T00:42:43.354206
"® Higher risk of cerebral palsy, seizures/epilepsy, visual- and hearing impairments, cancer, injury and child abuse in children with congenital anomalies: data from the EUROlinkCAT study - Urhoj SK, Morris J, Loane M, Ballardini E, Barrachina-Bonet L, Cavero-Carbonell C, Coi A, Gissler M, Given J, Heino A, Jordan S, Neville A, Santoro M, Tan J, Tucker D, Wellesley D, Garne E, Damkjaer M. Acta Paediatr. 2024; ePub(ePub): ePub. History of concussion and lowered heart rate variability at rest beyond symptom recovery: a systematic review and meta-analysis","Wesolowski E, Ahmed Z, Di Pietro V",Front. Neurol.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,78,78,2025-09-18T00:42:43.354206
® Interaction between depressive symptoms and obesity-related anthropometric measures on multimorbidity among community-dwelling older adults: evidence from India,"Ahmed W, Muhammad T, Irshad CV",BMC Public Health,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,79,79,2025-09-18T00:42:43.354206
® Study on collision dynamics model and multi-body contact forces of ball cage flexible joint considering clearance,"Zhu X, Zhao F, Yang X, Xu Y, Jia P, Zhou B, Xue S",Machines (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,81,81,2025-09-18T00:42:43.355207
® The stock market indexes in research on human balance,"Wodarski P, Chmura M, Gruszka G, Romanek J, Jurkojć J",Acta Bioeng. Biomech.,2022,https://www.safetylit.org/week/2024/240211.pdf,240211,82,82,2025-09-18T00:42:43.355207
"® Wearable technology: a wellbeing option for serving police officers and staff? A comparison of results of a pilot study with firearms officers and a group of mixed officers and staff - Cox C, Yates J, O'Brien F, Pajon L, Farrell A, Ward M, McCabe P, James A, McNamara-Catalano I. Int. J. Environ. Res. Public Health 2024; 21(2): e186. What are the views of adults with an intellectual disability (AWID), carers and healthcare professionals on a community falls management programme for AWID: a qualitative interview study in the UK - Robinson K, Logan P, Tucker C, Finlayson J, van der Wardt V, Kilby A, Knowles S, Vanhegan S, Hodgson S, Lidstone N. BMJ Open 2024; 14(2): e069588. Work safety in food services",Cavalcante JM,Rev. Bras. Med. Trab.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,83,83,2025-09-18T00:42:43.355207
® Medical and social aspects of the prevalence of marital injuries among preschool children,"Toliev RR, Abdullaev IK",Int. J. Integrative Mod. Med.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,85,85,2025-09-18T00:42:43.355207
"® What are the views of adults with an intellectual disability (AWID), carers and healthcare professionals on a community falls management programme for AWID: a qualitative interview study in the UK - Robinson K, Logan P, Tucker C, Finlayson J, van der Wardt V, Kilby A, Knowles S, Vanhegan S, Hodgson S, Lidstone N. BMJ Open 2024; 14(2): e069588. Work safety in food services",Cavalcante JM,Rev. Bras. Med. Trab.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,86,86,2025-09-18T00:42:43.355207
® Childhood poisoning - associated factors and clinical profile in a tertiary care hospital,"Parvin MF, Ara C, Momotaj T, Mia SH, Uddin MB, Begum F, Rashid MMU",TAJ J. Teach. Assoc.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,87,87,2025-09-18T00:42:43.355207
® Infant death from accidental suffocation and strangulation in bed in England and Wales: rare or unrecognised events?,"Garstang JJ, Menka M",BMJ Paediatr Open,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,88,88,2025-09-18T00:42:43.355207
® Physical and mental safety monitoring and protection of children with autism spectrum disorder: intelligent clothing integrating early warning and rescue,"Wu X, Chen J, Cheng Z, Liu X, Wang Y, Liu W, Jiang X",J. Eng. Fiber. Fabr.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,89,89,2025-09-18T00:42:43.355207
"® Jurisprudence, Laws, Legislation, Policies, Rules ""100,000 unarmed men in Washington"": public opinion and the 1876 election compromise",Korzi MJ,Stud. Am. Polit. Devel.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,90,90,2025-09-18T00:42:43.355207
"® (Un)earthing violence: ecologies of remembering, forgetting and reckoning","Çaylı E, Sağlam E",Hist. Anthropol. Chur.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,91,91,2025-09-18T00:42:43.355207
® Adolescents and sexual assault: a critical integrative review,"Bailey C, Shaw J, Harris A",Am. J. Community Psychol.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,92,92,2025-09-18T00:42:43.355207
® Assistive self-driving car networks to provide safe road ecosystems for disabled road users,"Guerrero-Ibáñez J, Contreras-Castillo J, Amezcua-Valdovinos I, Reyes-Muñoz A",Machines (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,93,93,2025-09-18T00:42:43.355207
® Child passenger deaths in traffic crashes involving alcohol-impaired drivers: 2011-2020,"Quinlan K, Romano E, Kelley-Baker T",Pediatrics,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,94,94,2025-09-18T00:42:43.355207
® Domestic firearm violence against women (2018-2021),"Shipley J, Donnelly M, Kuza C, Grigorian A, Swentek L, Chin T, Brown N, Nguyen N, Nahmias J",Surg. Open Sci.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,95,95,2025-09-18T00:42:43.355207
"® Examining resilience among child protection professionals during COVID-19: a global comparison across 57 countries - Katz C, Jacobson M, Priolo Filho SR, Goldfarb D, Liu J, Zibetti MR, Varela N, Attrash Najjar A, Bérubé A, Collin-Vézina D, Maguire-Jack K, Massarweh N, Munir A, Tiwari A, Wekerle C. Child Abuse Negl. 2024; ePub(ePub): ePub. Exploring growth, maturity, and age as injury risk factors in high-level youth football","Wik EH, Chamari K, Tabben M, Di Salvo V, Gregson W, Bahr R",Sports Med. Int. Open,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,96,96,2025-09-18T00:42:43.355207
"® From intimate partners to serial killers: Nearly 40 years of female homicides in King County, Washington (1978-2016)","Jetson J, Maioli H, Harruff RC, Jackson NR",J. Forensic Sci.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,97,97,2025-09-18T00:42:43.355207
® Intervention program dropout among perpetrators of intimate partner violence: a meta- analysis of correlated variables,"Cunha O, Pedrosa J, Silva Pereira B, Caridade S, de Castro Rodrigues A, Braga T",Trauma Violence Abuse,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,98,98,2025-09-18T00:42:43.355207
® Officer-involved killings of unarmed Black people and racial disparities in sleep health,"Venkataramani AS, Bair EF, Bor J, Jackson CL, Kawachi I, Lee J, Papachristos A, Tsai AC",JAMA Intern. Med.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,99,99,2025-09-18T00:42:43.355207
® Police violence experienced by Black gay and bisexual men: the effects on HIV care engagement and medication adherence,"Quinn KG, Walsh JL, Johnson A, Edwards T, Takahashi L, Dakin A, Bouacha N, Voisin D",AIDS Behav.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,100,100,2025-09-18T00:42:43.356165
® Semantic reasoning for geolocalized assessment of crime risk in smart cities,"Minardi R, Villani ML, De Nicola A",Smart Cities (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,101,101,2025-09-18T00:42:43.356165
® Tackling gender-related violence: how can theory inform international professional education projects?,"Guizzo G, Alldred P",Soc. Sci. (Basel),2024,https://www.safetylit.org/week/2024/240211.pdf,240211,102,102,2025-09-18T00:42:43.356165
"® Two bullet wounds, one bullet: the atypical fragmentation of a .223 caliber ammunition","Hancock A, Giffen M",Am. J. Forensic Med. Pathol.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,103,103,2025-09-18T00:42:43.356165
"® Women's markets: the everyday affective dimensions of Taliban's violence in Swat, Pakistan",Salman Khan M,Geoforum,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,104,104,2025-09-18T00:42:43.356165
® Can virtual reality be used for the prevention of peer sexual harassment in adolescence? First evaluation of the virtual-PRO program,"Sánchez-Jiménez V, Rodríguez-de Arriba ML, Ortega-Rivera J, Muñoz-Fernández N",Psychosoc. Interv.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,105,105,2025-09-18T00:42:43.356165
® Is this safe? Examining safety assessments of illicit drug purchasing on social media using conjoint analysis,"Haupt MR, Cuomo R, Cui M, Mackey TK",Subst. Use Misuse,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,106,106,2025-09-18T00:42:43.356165
® Differential effects of the venoms of Russell's viper and Indian cobra on human myoblasts,"Bin Haidar H, Almeida JR, Williams J, Guo B, Bigot A, Senthilkumaran S, Vaiyapuri S, Patel K",Sci. Rep.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,107,107,2025-09-18T00:42:43.356165
® Development of location-data-based orchard passage map generation method,"Han J, Park C, Jang YY",Sensors (Basel),2024,https://www.safetylit.org/week/2024/240211.pdf,240211,109,109,2025-09-18T00:42:43.356165
® Injuries from legal interventions involving conducted energy devices,"Achola EM, Griffith KN, Wrenn JO, Mitchell CR, Schwartz D, Roumie CL",JAMA Intern. Med.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,110,110,2025-09-18T00:42:43.356165
® Sleep deprivation detected by voice analysis,"Thoret E, Andrillon T, Gauriau C, Leger D, Pressnitzer D",PLoS Comput. Biol.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,112,112,2025-09-18T00:42:43.357170
"® Wearable technology: a wellbeing option for serving police officers and staff? A comparison of results of a pilot study with firearms officers and a group of mixed officers and staff - Cox C, Yates J, O'Brien F, Pajon L, Farrell A, Ward M, McCabe P, James A, McNamara-Catalano I. Int. J. Environ. Res. Public Health 2024; 21(2): e186. What is trauma-informed care?","Lewis-O'Connor A, Sievers V",J. Acad. Forensic Nurs.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,113,113,2025-09-18T00:42:43.357170
® Analysis of the bicycle roads system as an element of a smart mobility on the example of Poland provinces,Wolniak R,Smart Cities (Basel),2023,https://www.safetylit.org/week/2024/240211.pdf,240211,114,114,2025-09-18T00:42:43.357170
"® Injuries: causes in developing countries - <br> In: Handbook of Medical and Health Sciences in Developing Countries : Education, Practice, and Research. Al- Worafi YM, Al-Worafi YM; ed. (2023). Cham: Springer International Publishing, 1-20 pages. Medical and social aspects of the prevalence of marital injuries among preschool children","Toliev RR, Abdullaev IK",Int. J. Integrative Mod. Med.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,115,115,2025-09-18T00:42:43.357170
® Poisoning A case of acute poisoning of typhonium giganteum engler,"Zhao ZW, Zhao J, Liu XF, Zhang XL, Huang MJ, Fang ZC",Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,116,116,2025-09-18T00:42:43.357170
® Food poisoning by oleander skewers: investigation of a toxicologic urban legend,"Suchard JR, Lim J, Schmitt K",J. Med. Toxicol.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,118,118,2025-09-18T00:42:43.357170
® Occupational accidents involving pesticides notified by SINAN,"Machado LP, Machado JMH, Moura BC",Rev. Bras. Med. Trab.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,119,119,2025-09-18T00:42:43.357170
® Synthetic cannabinoids users admitted to Menoufia Poisoning and Dependence Control Center,"Slima SR, Azab RM",Egypt. J. Forensic Sci. Appl. Toxicol.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,120,120,2025-09-18T00:42:43.357170
"® A web-enabled, school-based intervention for bullying prevention (LINKlusive): a cluster randomised trial - Arango C, Martín-Babarro J, Abregú-Crespo R, Huete-Diego M, Alvariño-Piqueras M, Serrano-Marugán I, Díaz-Caneja CM. EClinicalMedicine 2024; 68: e102427. Buckle me up! A randomised controlled trial using a tablet-based emergency department intervention for child car safety education","Zhang AY, Leviter J, Baird J, Charles-Chauvet D, Frackiewicz LM, Duffy S, Dessie A",Inj. Prev.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,121,121,2025-09-18T00:42:43.357170
® Forensic implications of classification of accident-related deaths: a case report and review of the medical and legal literature,"Santoro L, Melinek J",Forensic Sci. Int. Rep.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,122,122,2025-09-18T00:42:43.357170
® Protective Headgear An assessment of Sikh turban's head protection in bicycle incident scenarios,"Yu X, Singh G, Kaur A, Ghajari M",Ann. Biomed. Eng.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,123,123,2025-09-18T00:42:43.357170
® A multi-design investigation of perfectionism risk profiles for traumatic injury in sport,"De Maria A, Galli F, Zelli A, Mallia L",Psychol. Sport Exer.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,124,124,2025-09-18T00:42:43.357170
® Fast hybrid methods for modeling landslide susceptibility in Ardal County,Xu S,Sci. Rep.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,125,125,2025-09-18T00:42:43.357170
® Trends and disparities in deaths among young persons in the US during the COVID-19 pandemic,"Rossen LM, Resendez A, Behdin A, Louis MS",Ann. Epidemiol.,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,127,127,2025-09-18T00:42:43.357170
"® ""Gender-based water violence"": cross-cultural evidence for severe harm associated with water insecurity for women and girls - Tallman PS, Salmon-Mulanovich G, Archdeacon N, Kothadia A, Lopez Flores L, Castañeda K, Collins S, Rusyidi B, Cole S. Violence Against Women 2024; ePub(ePub): ePub. ""When people who use drugs can't differentiate between medical care and cops, it's a problem."" Compounding risks of law Enforcement Harassment & Punitive Healthcare Policies","Ostrach B, Hixon V, Bryce A",Health Justice,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,128,128,2025-09-18T00:42:43.358168
® Adolescent health risk behavior: the road ahead,Keating DP,J. Adolesc. Health,2024,https://www.safetylit.org/week/2024/240211.pdf,240211,130,130,2025-09-18T00:42:43.358168
® An overview of carbon monoxide deaths in Kuwait between years 2013-2019 with four rare cases presentation: a forensic practitioner experience,"Ibrahim D, El Kady N, Abdelgawad I",Egypt. J. Forensic Sci. Appl. Toxicol.,2023,https://www.safetylit.org/week/2024/240211.pdf,240211,131,131,2025-09-18T00:42:43.358168
